Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
11;;VIVERO MUNICIPAL DE CASA DE CAMPO;Pº Azul s/n. Parque de la Casa de Campo;438584;4474694;40.420.606;-3.723.958;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;4.043.686.257.147.040;-37.381.715.230.490.400;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.426.646;-3.721.771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.395.628;-3.597.144;;almacén; AG Obras y Equipamientos ; Vicálvaro ;17,5;SAVEFFI;27/03/2020
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.379.145.542.145.500;-6,14247E+15;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;20;PECSA;11/06/2018
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.380.148;-3.765.466;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;6;AURA;14/02/2018
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.363.546.309.643.300;-3.778.110.067.286.680;;sanitario; MADRID SALUD ; Latina ;9,88;POWEN;21/06/2018
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;4.042.673.583.114.150;-37.065.496.222.694.200;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;5;AURA;14/02/2020
19;;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;4.042.832.883.917.410;-36.154.373.664.644.300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;35;FERROVIAL;13/02/2018
20;;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;4.047.409.889.540.650;-3.665.083.966.588.480;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;25;FERROVIAL;01/10/2019
21;2021;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;4.039.401.854.488.280;-3.697.052.144.961.610;;social; JMD Arganzuela ; Arganzuela ;17;;29/09/2008
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;4.039.390.298.324.830;-3.680.551.491.708.350;;educativo; JMD Arganzuela ; Arganzuela ;7,5;IMESAPI;07/05/2019
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;4.040.761.501.410.640;-37.173.807.221.939.100;11.523;deportivo; JMD Arganzuela ; Arganzuela ;90;EULEN;12/02/2019
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;4.040.207.279.862.860;-36.955.325.387.824.000;12.470;mixto; JMD Arganzuela ; Arganzuela ;90;EULEN;10/03/2019
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;4.039.437.715.885.100;-3.691.341.060.146.100;;deportivo; JMD Arganzuela ; Arganzuela ;10;;28/02/2020
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.460.622.835.379.600;-35.936.877.657.335.900;;cultural; JMD Barajas ; Barajas ;8,2;DRAGADOS;14/12/2019
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.474.801.968.086.500;-35.796.914.517.468.600;;social; JMD Barajas ; Barajas ;11,7;EULEN;01/04/2019
28;2019;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;4.037.690.319.217.390;-3.741.639.735.552.090;;cultural; JMD Carabanchel ; Carabanchel ;5;;29/09/2008
29;330;CC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;4.037.420.290.010.210;-37.510.337.449.848.600;;cultural; JMD Carabanchel ; Carabanchel ;3;AURA;25/09/2018
30;974;ANTIGUO CANÓDROMO;C/ VÍA CARPETANA, 71;437604;4472194;4.039.801.608.457.680;-37.352.725.040.539.500;;deportivo; JMD Carabanchel ; Carabanchel ;3;AURA;07/03/2019
